DateOfDeparture;Departure;Arrival;WeeksToDeparture;log_PAX;std_wtd
2012-06-19;ORD;DFW;12.875;12.33129622;9.812647119
2012-09-10;LAS;DEN;14.28571429;10.77518151;9.466733736
2012-10-05;DEN;LAX;10.86363636;11.08317675;9.035883252
2011-10-09;ATL;ORD;11.48;11.16926784;7.990202334
2012-02-21;DEN;SFO;11.45;11.26936373;9.517159019
2013-01-22;ATL;MCO;10.36363636;12.07364919;8.232024889
2011-10-20;SFO;LAS;15.26666667;11.17393612;9.808277058
2012-01-28;EWR;ORD;8.588235294;9.5999524;6.165010376
2012-05-27;ATL;CLT;10.23809524;9.175645143;6.609877169
2013-02-22;ATL;DEN;8.294117647;10.73431968;5.542615649
2012-04-25;ATL;MSP;12.6;10.76939863;9.725396307
2013-01-31;ORD;EWR;8.933333333;12.33630287;9.407190765
2012-06-23;IAH;LAX;13.62962963;10.26730984;9.178353079
2011-09-12;LAX;ORD;12.80769231;12.66755768;8.129055201
2012-11-15;DFW;ORD;9.9;12.87906243;6.608606828
2012-03-04;ATL;DEN;10.56521739;10.561284;7.590820335
2012-01-10;ORD;PHX;13.76;10.64980794;9.95523313
2013-02-13;SEA;SFO;7;11.75764417;4.472135955
2012-06-15;EWR;MCO;12.875;10.51539476;9.665323495
2012-02-03;ATL;MSP;9.842105263;10.91421574;7.819229558
2013-02-06;SFO;DEN;10.52380952;10.91956718;7.13876073
2011-12-02;ORD;DTW;9.833333333;11.25155953;8.304853294
2012-08-27;JFK;MIA;16.06896552;10.21347175;10.34729445
2012-04-16;PHL;DFW;6.153846154;11.36435988;4.180234321
2012-11-12;EWR;BOS;11;11.74051847;8.711758539
2011-09-08;ATL;PHL;8.684210526;11.55241587;6.700353486
2012-10-24;LAS;JFK;14.03571429;11.40186904;8.971073444
2012-04-16;ORD;EWR;8.133333333;12.11351279;6.289068369
2012-03-14;PHL;ATL;8.176470588;11.52943847;6.616601225
2012-07-24;EWR;SFO;13.96;10.62494123;10.92199615
2011-11-19;SFO;ATL;9.526315789;9.765837305;6.653056282
2012-05-02;JFK;MCO;13.85185185;10.63741603;9.247468276
2013-03-04;MIA;JFK;13;9.890535077;8.883505314
2012-04-28;SEA;ORD;7.625;9.755890744;4.964876635
2012-08-31;LAS;JFK;17.62162162;11.12193089;11.68653392
2012-02-11;MIA;LGA;13.78947368;10.26730984;13.22698818
2013-01-17;DTW;ATL;8.166666667;11.04360019;6.223768482
2012-08-01;ORD;DTW;10.65;11.40186904;9.836960378
2012-10-13;LAX;JFK;17;12.79301549;11.21733353
2012-08-02;SFO;ORD;16.03333333;12.30859847;11.62186801
2012-08-16;ORD;SFO;18.48484848;12.34378774;13.49565025
2012-03-21;BOS;ORD;7.8;11.92700783;6.037975063
2012-09-04;DEN;SEA;13;10.99291838;9.334368473
2012-07-12;BOS;EWR;12.09090909;11.59381966;9.231979053
2012-01-07;PHL;BOS;5.545454545;7.785131052;4.227614844
2012-09-01;LAX;EWR;13.16666667;10.32699416;9.959337618
2011-12-12;ATL;ORD;10.63157895;12.06210132;9.917495911
2012-07-23;ORD;DEN;14.03703704;11.58261857;9.705198771
2012-03-06;DFW;ORD;6.928571429;12.16902211;5.014813222
2012-01-25;PHL;DFW;5.454545455;10.42705517;4.156047073
2012-07-24;MSP;DEN;11.08695652;10.93022421;8.145902726
2012-03-07;ATL;MCO;11.08695652;11.84099029;8.45261145
2012-10-19;BOS;EWR;13.26086957;11.20629091;10.72048757
2011-10-30;ORD;MSP;8.631578947;11.03859354;6.49110953
2011-12-25;EWR;LAX;12.81818182;10.00741517;8.671993035
2012-09-04;DEN;DFW;9.111111111;11.52943847;6.08652213
2012-03-09;ORD;LAX;13.25;12.02111119;10.01412047
2011-10-02;CLT;LGA;11.40909091;10.72247853;7.920191742
2012-12-20;SFO;JFK;18.48648649;12.064995;12.77719675
2012-10-28;MCO;ATL;13.25925926;11.02853973;9.800284896
2011-09-15;ORD;DTW;9.647058824;11.71975785;7.557621786
2012-07-19;ORD;DFW;11.13043478;12.93429774;7.027894731
2012-05-20;LAX;DEN;11.79166667;11.41010294;9.357532036
2012-08-28;PHX;DEN;11.26315789;10.84321248;9.15206173
2013-01-28;JFK;LAS;12.22727273;11.49443268;10.11802643
2012-05-17;CLT;ATL;9.95;11.11231759;8.255620095
2012-08-13;ORD;SEA;16.59375;11.35592107;10.9569815
2012-10-25;DFW;PHL;11.57142857;11.57511363;9.135488102
2012-12-25;DEN;LAX;15.03448276;10.39193217;11.89082107
2012-02-12;MIA;ATL;14.75;10.37053642;10.77935269
2011-10-11;ORD;EWR;11.23809524;12.13312954;8.514133907
2012-05-16;JFK;LAX;16.91428571;13.69531188;11.74827003
2012-03-19;LAS;ORD;12.625;11.150477;9.792688044
2012-07-16;MCO;PHL;13.57692308;10.22125872;9.533826417
2012-09-12;BOS;LGA;5;13.40480635;4.156047073
2012-03-09;DFW;DEN;7.133333333;11.23358372;4.718756898
2012-11-20;CLT;LGA;12.44;11.39773842;8.266801074
2013-01-21;DEN;ORD;9.631578947;10.93552998;7.158604196
2011-11-05;ATL;PHL;12.54166667;9.954379112;10.2149897
2012-01-20;DEN;DFW;10.15;11.46275505;7.005824644
2011-10-26;ATL;LAX;13.15384615;11.30011786;8.670373961
2011-09-24;PHL;ORD;11.36363636;10.44781578;7.877305888
2012-02-17;DEN;SFO;12.77272727;10.98261462;9.748903812
2011-11-30;DTW;ATL;9.105263158;10.79242331;5.801290439
2011-12-19;JFK;MIA;15.39285714;10.83763706;11.46763331
2013-01-10;PHL;MCO;13.07407407;10.52862159;8.061904365
2012-09-19;CLT;LGA;10.73684211;11.97616984;8.312254042
2011-10-28;JFK;LAX;14.83870968;13.2243749;10.09982434
2012-11-29;JFK;LAS;11.7826087;10.23673578;8.062012617
2012-01-30;LGA;MIA;11.05263158;10.84877128;9.605980106
2012-03-21;PHX;DEN;8;11.31314452;5.656854249
2012-04-11;ATL;DTW;9.888888889;10.65597315;8.930377035
2012-06-24;LAS;LAX;16.61764706;11.74738763;11.70344344
2012-12-13;LAX;ATL;10.7826087;11.55621807;7.839042855
2012-09-01;LAS;DEN;11.27272727;9.610763884;7.747084356
2013-01-07;ORD;MSP;9.235294118;11.76784461;9.417599294
2013-01-19;ATL;LAX;13.37037037;10.34162149;10.22496247
2011-09-11;DTW;ORD;10.36842105;10.88178056;7.882544191
2011-10-18;PHX;DEN;9.55;11.06843379;6.004165221
2012-01-10;ATL;SFO;13.59090909;10.40606085;11.37524083
2012-03-05;ATL;ORD;10.57142857;12.04756519;8.628855246
2011-09-22;DFW;ORD;11.95833333;13.0211389;7.83236966
2011-11-20;DFW;LGA;9;10.41308525;6.259111006
2013-02-07;LAX;IAH;13.17391304;10.5482876;11.3323839
2011-12-15;PHX;ORD;13.32;10.65597315;9.625140692
2012-07-03;DFW;LAX;14.86206897;11.21086754;10.16550237
2012-07-16;MCO;EWR;15.71428571;10.65597315;11.39154054
2012-03-07;DEN;MSP;8.133333333;10.70457462;6.545081759
2011-12-01;SEA;LAX;10.57894737;10.96183473;9.032753914
2012-07-19;DEN;LAS;12.30769231;10.48191135;8.675340827
2012-08-08;SFO;EWR;16.76666667;10.56774839;12.43377861
2012-07-17;ATL;LAX;11.86363636;11.44671215;8.41368191
2012-06-19;EWR;MCO;14;10.65597315;11.00841429
2012-10-16;LAX;SFO;15.03448276;12.87157256;11.91482498
2012-04-12;LAX;EWR;8.588235294;11.01843144;5.874295953
